NAZWA;WK;PK;GK;GT;PT;Typ jednostki;Podtyp jednostki;Kod GUS;Kod MSWiA;Data od;Data do;Miejscowosc;Kod pocztowy;Adres
KOBY£KA;14;34;01;1;0;Gmina;Gmina miejska;1434011;;1994-01-01;;KOBY£KA;05-230;ul.Wo≥omiÒska 1
MARKI;14;34;02;1;0;Gmina;Gmina miejska;1434021;;1994-01-01;;MARKI;05-270;Al.Pi≥sudskiego 95
Z•BKI;14;34;03;1;0;Gmina;Gmina miejska;1434031;;1994-01-01;;Z•BKI;05-091;ul.Wojska Polskiego 10
ZIELONKA;14;34;04;1;0;Gmina;Gmina miejska;1434041;;1994-01-01;;ZIELONKA;05-220;ul.Lipowa 5
D•BR”WKA;14;34;05;2;0;Gmina;Gmina wiejska;1434052;;1994-01-01;;D•BR”WKA;05-252;ul.Koúciuszki 14
JAD”W;14;34;06;2;0;Gmina;Gmina wiejska;1434062;;1994-01-01;;JAD”W;05-280;ul.Jana Paw≥a II 17
KLEMB”W;14;34;07;2;0;Gmina;Gmina wiejska;1434072;;1994-01-01;;KLEMB”W;05-205;ul.Gen. Fr. Øymirskiego 38
POåWI TNE;14;34;08;2;0;Gmina;Gmina wiejska;1434082;;1994-01-01;;POåWI TNE;05-326;PoúwiÍtne 37
RADZYMIN;14;34;09;3;0;Gmina;Gmina miejsko-wiejska;1434093;;1994-01-01;;RADZYMIN;05-250;Pl.T.Koúciuszki 2
STRACH”WKA;14;34;10;2;0;Gmina;Gmina wiejska;1434102;;1994-01-01;;STRACH”WKA;05-282;ul.Norwida 6
T£USZCZ;14;34;11;3;0;Gmina;Gmina miejsko-wiejska;1434113;;1994-01-01;;T£USZCZ;05-240;ul.Warszawska 10
WO£OMIN;14;34;12;3;0;Gmina;Gmina miejsko-wiejska;1434123;;1994-01-01;;WO£OMIN;05-200;ul.Ogrodowa 4
wyszkowski;14;35;00;0;1;Powiat;;1435000;;1999-01-01;;WYSZK”W;07-200;Al.RÛø 2
BRA—SZCZYK;14;35;01;2;0;Gmina;Gmina wiejska;1435012;;1994-01-01;;BRA—SZCZYK;07-221;ul.Jana Paw≥a II 45
D£UGOSIOD£O;14;35;02;2;0;Gmina;Gmina wiejska;1435022;;1994-01-01;;D£UGOSIOD£O;07-210;ul.Szkolna 2
RZ•åNIK;14;35;03;2;0;Gmina;Gmina wiejska;1435032;;1994-01-01;;RZ•åNIK;07-205;ul.Jesionowa 3
SOMIANKA;14;35;04;2;0;Gmina;Gmina wiejska;1435042;;1994-01-01;;SOMIANKA;07-203;
WYSZK”W;14;35;05;3;0;Gmina;Gmina miejsko-wiejska;1435053;;1994-01-01;;WYSZK”W;07-200;Aleja RÛø 2
ZABRODZIE;14;35;06;2;0;Gmina;Gmina wiejska;1435062;;1994-01-01;;ZABRODZIE;07-230;ul.W≥.St.Reymonta 51
zwoleÒski;14;36;00;0;1;Powiat;;1436000;;1999-01-01;;ZWOLE—;26-700;ul.W≥.Jagie≥≥y 4
KAZAN”W;14;36;01;2;0;Gmina;Gmina wiejska;1436012;;1994-01-01;;KAZAN”W;26-713;Pl.PartyzantÛw 28
POLICZNA;14;36;02;2;0;Gmina;Gmina wiejska;1436022;;1994-01-01;;POLICZNA;26-720;ul.Prusa 11
PRZY£ K;14;36;03;2;0;Gmina;Gmina wiejska;1436032;;1994-01-01;;PRZY£ K;26-704;
TCZ”W;14;36;04;2;0;Gmina;Gmina wiejska;1436042;;1994-01-01;;TCZ”W;26-706;TczÛw 124
ZWOLE—;14;36;05;3;0;Gmina;Gmina miejsko-wiejska;1436053;;1994-01-01;;ZWOLE—;26-700;Pl.Kochanowskiego 1
øuromiÒski;14;37;00;0;1;Powiat;;1437000;;1999-01-01;;ØUROMIN;09-300;pl.Pi≥sudskiego 4
BIEØU—;14;37;01;3;0;Gmina;Gmina miejsko-wiejska;1437013;;1994-01-01;;BIEØU—;09-320;ul.Warszawska 2
KUCZBORK-OSADA;14;37;02;2;0;Gmina;Gmina wiejska;1437022;;1994-01-01;;KUCZBORK-OSADA;09-310;ul.Mickiewicza 7c
LUBOWIDZ;14;37;03;2;0;Gmina;Gmina wiejska;1437032;;1994-01-01;;LUBOWIDZ;09-304;ul.Zielona 10
LUTOCIN;14;37;04;2;0;Gmina;Gmina wiejska;1437042;;1994-01-01;;LUTOCIN;09-317;ul.Poniatowskiego 1
SIEMI•TKOWO;14;37;05;2;0;Gmina;Gmina wiejska;1437052;;2004-01-01;;SIEMI•TKOWO;09-135;Siemiπtkowo
ØUROMIN;14;37;06;3;0;Gmina;Gmina miejsko-wiejska;1437063;;1994-01-01;;ØUROMIN;09-300;Pl.Pi≥sudskiego 3
øyrardowski;14;38;00;0;1;Powiat;;1438000;;1999-01-01;;ØYRARD”W;96-300;ul.Limanowskiego 45
ØYRARD”W;14;38;01;1;0;Gmina;Gmina miejska;1438011;;1994-01-01;;ØYRARD”W;96-300;Pl.Jana Paw≥a II 1
MSZCZON”W;14;38;02;3;0;Gmina;Gmina miejsko-wiejska;1438023;;1994-01-01;;MSZCZON”W;96-320;ul.GrÛjecka 45
PUSZCZA MARIA—SKA;14;38;03;2;0;Gmina;Gmina wiejska;1438032;;1994-01-01;;PUSZCZA MARIA—SKA;96-330;
RADZIEJOWICE;14;38;04;2;0;Gmina;Gmina wiejska;1438042;;1994-01-01;;RADZIEJOWICE;96-325;ul.Kubickiego 10
WISKITKI;14;38;05;2;0;Gmina;Gmina wiejska;1438052;;1994-01-01;;WISKITKI;96-315;ul.Koúciuszki 1
Ostro≥Íka;14;61;00;0;2;Miasto na prawach powiatu;;1461000;;1999-01-01;;OSTRO£ KA;07-400;pl.gen.J.Bema 1
P≥ock;14;62;00;0;2;Miasto na prawach powiatu;;1462000;;1999-01-01;;P£OCK;09-400;ul.Stary Rynek 1
Radom;14;63;00;0;2;Miasto na prawach powiatu;;1463000;;1999-01-01;;RADOM;26-600;ul.KiliÒskiego 30
Siedlce;14;64;00;0;2;Miasto na prawach powiatu;;1464000;;1999-01-01;;SIEDLCE;08-110;ul.Skwer Niepodleg≥oúci 2
m. st. Warszawa;14;65;00;0;2;Miasto na prawach powiatu;;1465000;;2002-10-27;;WARSZAWA;00-950;Plac Bankowy 3/5
opolskie;16;00;00;0;0;WojewÛdztwo;;1600000;;1999-01-01;;Opole;45-082;ul.Piastowska 14
brzeski;16;01;00;0;1;Powiat;;1601000;;1999-01-01;;BRZEG;49-300;ul.Robotnicza 12
BRZEG;16;01;01;1;0;Gmina;Gmina miejska;1601011;;1994-01-01;;BRZEG;49-300;ul.Robotnicza 12
SKARBIMIERZ;16;01;02;2;0;Gmina;Gmina wiejska;1601022;;2002-01-01;;SKARBIMIERZ;49-318;ul.Parkowa 12
GRODK”W;16;01;03;3;0;Gmina;Gmina miejsko-wiejska;1601033;;1994-01-01;;GRODK”W;49-200;ul.Warszawska 29
LEWIN BRZESKI;16;01;04;3;0;Gmina;Gmina miejsko-wiejska;1601043;;1994-01-01;;LEWIN BRZESKI;49-340;ul.Rynek 1
LUBSZA;16;01;05;2;0;Gmina;Gmina wiejska;1601052;;1994-01-01;;LUBSZA;49-313;ul.Brzeska 16
OLSZANKA;16;01;06;2;0;Gmina;Gmina wiejska;1601062;;1994-01-01;;OLSZANKA;49-332;Olszanka 16
g≥ubczycki;16;02;00;0;1;Powiat;;1602000;;1999-01-01;;G£UBCZYCE;48-100;ul.Kochanowskiego 15
BABOR”W;16;02;01;3;0;Gmina;Gmina miejsko-wiejska;1602013;;1994-01-01;;BABOR”W;48-120;ul.DπbrowszczakÛw 2 a
BRANICE;16;02;02;2;0;Gmina;Gmina wiejska;1602022;;1994-01-01;;BRANICE;48-140;ul.S≥owackiego nr 3
G£UBCZYCE;16;02;03;3;0;Gmina;Gmina miejsko-wiejska;1602033;;1994-01-01;;G£UBCZYCE;48-100;ul.Niepodleg≥oúci 14
KIETRZ;16;02;04;3;0;Gmina;Gmina miejsko-wiejska;1602043;;1994-01-01;;KIETRZ;48-130;ul.3 Maja 1
kÍdzierzyÒsko-kozielski;16;03;00;0;1;Powiat;;1603000;;1999-01-01;;K DZIERZYN-KOèLE;47-220;pl.Wolnoúci 13
K DZIERZYN-KOèLE;16;03;01;1;0;Gmina;Gmina miejska;1603011;;1994-01-01;;K DZIERZYN-KOèLE;47-200;ul.Piramowicza 32
BIERAWA;16;03;02;2;0;Gmina;Gmina wiejska;1603022;;1994-01-01;;BIERAWA;47-240;ul.Wojska Polskiego 12
CISEK;16;03;03;2;0;Gmina;Gmina wiejska;1603032;;1994-01-01;;CISEK;47-253;ul.Planetorza 52
PAW£OWICZKI;16;03;04;2;0;Gmina;Gmina wiejska;1603042;;1994-01-01;;PAW£OWICZKI;47-280;Pl.Jednoúci Narodu 1
POLSKA CEREKIEW;16;03;05;2;0;Gmina;Gmina wiejska;1603052;;1994-01-01;;POLSKA CEREKIEW;47-260;ul.Raciborska 4
RE—SKA WIEå;16;03;06;2;0;Gmina;Gmina wiejska;1603062;;1994-01-01;;RE—SKA WIEå;47-208;ul.Paw≥owicka 1
kluczborski;16;04;00;0;1;Powiat;;1604000;;1999-01-01;;KLUCZBORK;46-200;ul. Katowicka 1
BYCZYNA;16;04;01;3;0;Gmina;Gmina miejsko-wiejska;1604013;;1994-01-01;;BYCZYNA;46-220;ul.Rynek 1
KLUCZBORK;16;04;02;3;0;Gmina;Gmina miejsko-wiejska;1604023;;1994-01-01;;KLUCZBORK;46-200;ul.Katowicka 1
LASOWICE WIELKIE;16;04;03;2;0;Gmina;Gmina wiejska;1604032;;1994-01-01;;LASOWICE MA≥E;46-280;ul.Odrodzenia 32
WO£CZYN;16;04;04;3;0;Gmina;Gmina miejsko-wiejska;1604043;;1994-01-01;;WO£CZYN;46-250;ul.Dworcowa 1
krapkowicki;16;05;00;0;1;Powiat;;1605000;;1999-01-01;;KRAPKOWICE;47-303;ul.KiliÒskiego 1
GOGOLIN;16;05;01;3;0;Gmina;Gmina miejsko-wiejska;1605013;;1994-01-01;;GOGOLIN;47-320;ul.Krapkowicka 6
KRAPKOWICE;16;05;02;3;0;Gmina;Gmina miejsko-wiejska;1605023;;1994-01-01;;KRAPKOWICE;47-303;ul.3 Maja 17
STRZELECZKI;16;05;03;2;0;Gmina;Gmina wiejska;1605032;;1994-01-01;;STRZELECZKI;47-364;ul.Rynek 4
WALCE;16;05;04;2;0;Gmina;Gmina wiejska;1605042;;1994-01-01;;WALCE;47-344;ul.Mickiewicza 18
ZDZIESZOWICE;16;05;05;3;0;Gmina;Gmina miejsko-wiejska;1605053;;1994-01-01;;ZDZIESZOWICE;47-330;ul.Boles≥awa Chrobrego 34
namys≥owski;16;06;00;0;1;Powiat;;1606000;;1999-01-01;;NAMYS£”W;46-100;ul. Plac Wolnoúci 12 a
DOMASZOWICE;16;06;01;2;0;Gmina;Gmina wiejska;1606012;;1994-01-01;;DOMASZOWICE;46-146;ul.G≥Ûwna 26
NAMYS£”W;16;06;02;3;0;Gmina;Gmina miejsko-wiejska;1606023;;1994-01-01;;NAMYS£”W;46-100;ul.Dubois 3
POK”J;16;06;03;2;0;Gmina;Gmina wiejska;1606032;;1994-01-01;;POK”J;46-034;ul.Sienkiewicza 8
åWIERCZ”W;16;06;04;2;0;Gmina;Gmina wiejska;1606042;;1994-01-01;;åWIERCZ”W;46-112;ul.Brzeska 48
WILK”W;16;06;05;2;0;Gmina;Gmina wiejska;1606052;;1994-01-01;;WILK”W;46-113;ul.Wroc≥awska 11
nyski;16;07;00;0;1;Powiat;;1607000;;1999-01-01;;NYSA;48-300;ul.Moniuszki 9-10
G£UCHO£AZY;16;07;01;3;0;Gmina;Gmina miejsko-wiejska;1607013;;1994-01-01;;G£UCHO£AZY;48-340;ul.Rynek 15
KAMIENNIK;16;07;02;2;0;Gmina;Gmina wiejska;1607022;;1994-01-01;;KAMIENNIK;48-388;ul.1 Maja 69
KORFANT”W;16;07;03;3;0;Gmina;Gmina miejsko-wiejska;1607033;;1994-01-01;;KORFANT”W;49-137;ul.Rynek 4
£AMBINOWICE;16;07;04;2;0;Gmina;Gmina wiejska;1607042;;1994-01-01;;£AMBINOWICE;48-316;ul.Zawadzkiego 29
NYSA;16;07;05;3;0;Gmina;Gmina miejsko-wiejska;1607053;;1994-01-01;;NYSA;48-300;ul.Kolejowa 15
OTMUCH”W;16;07;06;3;0;Gmina;Gmina miejsko-wiejska;1607063;;1994-01-01;;OTMUCH”W;48-385;ul.Zamkowa 6
PACZK”W;16;07;07;3;0;Gmina;Gmina miejsko-wiejska;1607073;;1994-01-01;;PACZK”W;48-370;ul.Rynek 1
PAKOS£AWICE;16;07;08;2;0;Gmina;Gmina wiejska;1607082;;1994-01-01;;PAKOS£AWICE;48-314;
SKOROSZYCE;16;07;09;2;0;Gmina;Gmina wiejska;1607092;;1994-01-01;;SKOROSZYCE;48-320;ul.PowstaÒcÛw ålπskich 17
oleski;16;08;00;0;1;Powiat;;1608000;;1999-01-01;;OLESNO;46-300;ul.Pieloka 21
DOBRODZIE—;16;08;01;3;0;Gmina;Gmina miejsko-wiejska;1608013;;1994-01-01;;DOBRODZIE—;46-380;Plac Wolnoúci 1
GORZ”W åL•SKI;16;08;02;3;0;Gmina;Gmina miejsko-wiejska;1608023;;1994-01-01;;GORZ”W åL•SKI;46-310;ul.Wojska Polskiego 15
OLESNO;16;08;03;3;0;Gmina;Gmina miejsko-wiejska;1608033;;1994-01-01;;OLESNO;46-300;ul.Pieloka 21
PRASZKA;16;08;04;3;0;Gmina;Gmina miejsko-wiejska;1608043;;1994-01-01;;PRASZKA;46-320;Pl.Grunwaldzki 13
RAD£”W;16;08;05;2;0;Gmina;Gmina wiejska;1608052;;1994-01-01;;RAD£”W;46-331;ul.Oleska 3
RUDNIKI;16;08;06;2;0;Gmina;Gmina wiejska;1608062;;1994-01-01;;RUDNIKI;46-325;ul.Wojska Polskiego 12
Z BOWICE;16;08;07;2;0;Gmina;Gmina wiejska;1608072;;1994-01-01;;Z BOWICE;46-048;ul.Murka 2
opolski;16;09;00;0;1;Powiat;;1609000;;1999-01-01;;OPOLE;45-082;ul.Piastowska 14
CHRZ•STOWICE;16;09;01;2;0;Gmina;Gmina wiejska;1609012;;1994-01-01;;CHRZ•STOWICE;46-053;ul.Dworcowa 38
D•BROWA;16;09;02;2;0;Gmina;Gmina wiejska;1609022;;1994-01-01;;D•BROWA;49-120;ul.KsiÍdza Sztonyka 56
DOBRZE— WIELKI;16;09;03;2;0;Gmina;Gmina wiejska;1609032;;1994-01-01;;DOBRZE— WIELKI;46-081;ul.Namys≥owska 44
KOMPRACHCICE;16;09;04;2;0;Gmina;Gmina wiejska;1609042;;1994-01-01;;KOMPRACHCICE;46-070;ul.Kolejowa 3
£UBNIANY;16;09;05;2;0;Gmina;Gmina wiejska;1609052;;1994-01-01;;£UBNIANY;46-024;ul.Opolska 104
MUR”W;16;09;06;2;0;Gmina;Gmina wiejska;1609062;;1994-01-01;;MUR”W;46-030;ul.Dworcowa 2
NIEMODLIN;16;09;07;3;0;Gmina;Gmina miejsko-wiejska;1609073;;1994-01-01;;NIEMODLIN;49-100;ul.Bohat.PowstaÒ ålπskich 37
OZIMEK;16;09;08;3;0;Gmina;Gmina miejsko-wiejska;1609083;;1994-01-01;;OZIMEK;46-040;ul.Ks.J.Dzierøona 4 B
POPIEL”W;16;09;09;2;0;Gmina;Gmina wiejska;1609092;;1994-01-01;;POPIEL”W;46-090;ul.Opolska 13
PR”SZK”W;16;09;10;3;0;Gmina;Gmina miejsko-wiejska;1609103;;2004-01-01;;PR”SZK”W;46-060;ul.Opolska 17
TARN”W OPOLSKI;16;09;11;2;0;Gmina;Gmina wiejska;1609112;;1994-01-01;;TARN”W OPOLSKI;46-050;ul.Dworcowa 6
TU£OWICE;16;09;12;2;0;Gmina;Gmina wiejska;1609122;;1994-01-01;;TU£OWICE;49-130;ul.Szkolna 1
TURAWA;16;09;13;2;0;Gmina;Gmina wiejska;1609132;;1994-01-01;;TURAWA;46-045;ul.Opolska 39c
prudnicki;16;10;00;0;1;Powiat;;1610000;;1999-01-01;;PRUDNIK;48-200;ul.Koúciuszki 76
BIA£A;16;10;01;3;0;Gmina;Gmina miejsko-wiejska;1610013;;1994-01-01;;BIA£A;48-210;ul.Rynek 10
G£OG”WEK;16;10;02;3;0;Gmina;Gmina miejsko-wiejska;1610023;;1994-01-01;;G£OG”WEK;48-250;ul.Rynek 1
LUBRZA;16;10;03;2;0;Gmina;Gmina wiejska;1610032;;1994-01-01;;LUBRZA;48-231;ul.Wolnoúci 73
PRUDNIK;16;10;04;3;0;Gmina;Gmina miejsko-wiejska;1610043;;1994-01-01;;PRUDNIK;48-200;ul.Koúciuszki 3
strzelecki;16;11;00;0;1;Powiat;;1611000;;1999-01-01;;STRZELCE OPOLSKIE;47-100;ul.Jordanowska 2
IZBICKO;16;11;01;2;0;Gmina;Gmina wiejska;1611012;;1994-01-01;;IZBICKO;47-180;ul.PowstaÒcÛw ålπskich 12
JEMIELNICA;16;11;02;2;0;Gmina;Gmina wiejska;1611022;;1994-01-01;;JEMIELNICA;47-133;ul.Strzelecka 67
KOLONOWSKIE;16;11;03;3;0;Gmina;Gmina miejsko-wiejska;1611033;;1994-01-01;;KOLONOWSKIE;46-057;ul.KsiÍdza Gajdy 39
LEåNICA;16;11;04;3;0;Gmina;Gmina miejsko-wiejska;1611043;;1994-01-01;;LEåNICA;47-150;ul.1 Maja 9
STRZELCE OPOLSKIE;16;11;05;3;0;Gmina;Gmina miejsko-wiejska;1611053;;1994-01-01;;STRZELCE OPOLSKIE;47-100;Pl.Myúliwca 1
UJAZD;16;11;06;3;0;Gmina;Gmina miejsko-wiejska;1611063;;1994-01-01;;UJAZD;47-143;ul.S≥awiÍcicka 19
ZAWADZKIE;16;11;07;3;0;Gmina;Gmina miejsko-wiejska;1611073;;1994-01-01;;ZAWADZKIE;47-120;ul.DÍbowa 13
Opole;16;61;00;0;2;Miasto na prawach powiatu;;1661000;;1999-01-01;;OPOLE;45-015;ul.Rynek-Ratusz
podkarpackie;18;00;00;0;0;WojewÛdztwo;;1800000;;1999-01-01;;RzeszÛw;35-959;ul.Grunwaldzka 15
bieszczadzki;18;01;00;0;1;Powiat;;1801000;;1999-01-01;;USTRZYKI DOLNE;38-700;ul.Rynek 6
CZARNA;18;01;03;2;0;Gmina;Gmina wiejska;1801032;;1994-01-01;;CZARNA;38-710;Czarna 74
LUTOWISKA;18;01;05;2;0;Gmina;Gmina wiejska;1801052;;1994-01-01;;LUTOWISKA;38-713;Lutowiska 14
USTRZYKI DOLNE;18;01;08;3;0;Gmina;Gmina miejsko-wiejska;1801083;;1994-01-01;;USTRZYKI DOLNE;38-700;ul.Kopernika 1
brzozowski;18;02;00;0;1;Powiat;;1802000;;1999-01-01;;BRZOZ”W;36-200;ul.Armii Krajowej 1
BRZOZ”W;18;02;01;3;0;Gmina;Gmina miejsko-wiejska;1802013;;1994-01-01;;BRZOZ”W;36-200;ul.Armii Krajowej 1
DOMARADZ;18;02;02;2;0;Gmina;Gmina wiejska;1802022;;1994-01-01;;DOMARADZ;36-230;Domaradz 345
DYDNIA;18;02;03;2;0;Gmina;Gmina wiejska;1802032;;1994-01-01;;DYDNIA;36-204;Dydnia 224
HACZ”W;18;02;04;2;0;Gmina;Gmina wiejska;1802042;;1994-01-01;;HACZ”W;36-213;
JASIENICA ROSIELNA;18;02;05;2;0;Gmina;Gmina wiejska;1802052;;1994-01-01;;JASIENICA ROSIELNA;36-220;Jasienica Rosielna 240
NOZDRZEC;18;02;06;2;0;Gmina;Gmina wiejska;1802062;;1994-01-01;;NOZDRZEC;36-245;Nozdrzec 224
dÍbicki;18;03;00;0;1;Powiat;;1803000;;1999-01-01;;D BICA;39-200;ul.Ogrodowa 4
D BICA;18;03;01;1;0;Gmina;Gmina miejska;1803011;;1994-01-01;;D BICA;39-200;ul.Parkowa 28
BRZOSTEK;18;03;02;3;0;Gmina;Gmina miejsko-wiejska;1803023;;2009-01-01;;BRZOSTEK;39-230;ul. Rynek 1
CZARNA;18;03;03;2;0;Gmina;Gmina wiejska;1803032;;1994-01-01;;CZARNA;39-215;ul.Dworcowa 6
D BICA;18;03;04;2;0;Gmina;Gmina wiejska;1803042;;1994-01-01;;D BICA;39-200;ul.Batorego 13
JOD£OWA;18;03;05;2;0;Gmina;Gmina wiejska;1803052;;1994-01-01;;JOD£OWA;39-225;
PILZNO;18;03;06;3;0;Gmina;Gmina miejsko-wiejska;1803063;;1994-01-01;;PILZNO;39-220;Rynek 6
ØYRAK”W;18;03;07;2;0;Gmina;Gmina wiejska;1803072;;1994-01-01;;ØYRAK”W;39-204;ØyrakÛw 137
jaros≥awski;18;04;00;0;1;Powiat;;1804000;;1999-01-01;;JAROS£AW;37-500;ul.Jana Paw≥a II 17
JAROS£AW;18;04;01;1;0;Gmina;Gmina miejska;1804011;;1994-01-01;;JAROS£AW;37-500;ul.Rynek 1
RADYMNO;18;04;02;1;0;Gmina;Gmina miejska;1804021;;1994-01-01;;RADYMNO;37-550;ul.Lwowska 20
CH£OPICE;18;04;03;2;0;Gmina;Gmina wiejska;1804032;;1994-01-01;;CH£OPICE;37-561;Ch≥opice 149 A
JAROS£AW;18;04;04;2;0;Gmina;Gmina wiejska;1804042;;1994-01-01;;JAROS£AW;37-500;ul.Piekarska 5
LASZKI;18;04;05;2;0;Gmina;Gmina wiejska;1804052;;1994-01-01;;LASZKI;37-543;Laszki 36
PAW£OSI”W;18;04;06;2;0;Gmina;Gmina wiejska;1804062;;1994-01-01;;JAROS≥AW;37-500;
PRUCHNIK;18;04;07;3;0;Gmina;Gmina miejsko-wiejska;1804073;;2011-01-01;;PRUCHNIK;37-560;ul.Rynek 1
RADYMNO;18;04;08;2;0;Gmina;Gmina wiejska;1804082;;1994-01-01;;RADYMNO;37-550;ul.Lwowska  38
ROKIETNICA;18;04;09;2;0;Gmina;Gmina wiejska;1804092;;1994-01-01;;ROKIETNICA;37-562;
ROèWIENICA;18;04;10;2;0;Gmina;Gmina wiejska;1804102;;1994-01-01;;ROèWIENICA;37-565;
WI•ZOWNICA;18;04;11;2;0;Gmina;Gmina wiejska;1804112;;1994-01-01;;WI•ZOWNICA;37-522;
jasielski;18;05;00;0;1;Powiat;;1805000;;1999-01-01;;JAS£O;38-200;ul.Rynek 18
JAS£O;18;05;01;1;0;Gmina;Gmina miejska;1805011;;1994-01-01;;JAS£O;38-200;ul.Rynek 12
BRZYSKA;18;05;02;2;0;Gmina;Gmina wiejska;1805022;;1994-01-01;;BRZYSKA;38-212;
D BOWIEC;18;05;03;2;0;Gmina;Gmina wiejska;1805032;;1994-01-01;;D BOWIEC;38-220;
JAS£O;18;05;04;2;0;Gmina;Gmina wiejska;1805042;;1994-01-01;;JAS£O;38-200;ul.S≥owackiego 4
KO£ACZYCE;18;05;05;3;0;Gmina;Gmina miejsko-wiejska;1805053;;2010-01-01;;KO£ACZYCE;38-213;
KREMPNA;18;05;06;2;0;Gmina;Gmina wiejska;1805062;;1994-01-01;;KREMPNA;38-232;Krempna 85
NOWY ØMIGR”D;18;05;07;2;0;Gmina;Gmina wiejska;1805072;;1994-01-01;;NOWY ØMIGR”D;38-230;ul.Mickiewicza 2
OSIEK JASIELSKI;18;05;08;2;0;Gmina;Gmina wiejska;1805082;;1994-01-01;;OSIEK JASIELSKI;38-223;
SKO£YSZYN;18;05;09;2;0;Gmina;Gmina wiejska;1805092;;1994-01-01;;SKO£YSZYN;38-242;Sko≥yszyn 12
TARNOWIEC;18;05;11;2;0;Gmina;Gmina wiejska;1805112;;1994-01-01;;TARNOWIEC;38-204;
kolbuszowski;18;06;00;0;1;Powiat;;1806000;;1999-01-01;;KOLBUSZOWA;36-100;ul.11-go Listopada 10
CMOLAS;18;06;01;2;0;Gmina;Gmina wiejska;1806012;;1994-01-01;;CMOLAS;36-105;Cmolas 237 b
KOLBUSZOWA;18;06;02;3;0;Gmina;Gmina miejsko-wiejska;1806023;;1994-01-01;;KOLBUSZOWA;36-100;ul.ObroÒcÛw Pokoju 21
MAJDAN KR”LEWSKI;18;06;03;2;0;Gmina;Gmina wiejska;1806032;;1994-01-01;;MAJDAN KR”LEWSKI;36-110;Pl.Rynek 1a
NIWISKA;18;06;04;2;0;Gmina;Gmina wiejska;1806042;;1994-01-01;;NIWISKA;36-147;
RANIØ”W;18;06;05;2;0;Gmina;Gmina wiejska;1806052;;1994-01-01;;RANIØ”W;36-130;
DZIKOWIEC;18;06;06;2;0;Gmina;Gmina wiejska;1806062;;2002-01-01;;DZIKOWIEC;36-122;Dzikowiec 2
kroúnieÒski;18;07;00;0;1;Powiat;;1807000;;1999-01-01;;KROSNO;38-400;ul.Bieszczadzka 1
CHORK”WKA;18;07;01;2;0;Gmina;Gmina wiejska;1807012;;1994-01-01;;CHORK”WKA;38-458;ChorkÛwka
DUKLA;18;07;02;3;0;Gmina;Gmina miejsko-wiejska;1807023;;1994-01-01;;DUKLA;38-450;ul.Trakt WÍgierski 11
IWONICZ-ZDR”J;18;07;03;3;0;Gmina;Gmina miejsko-wiejska;1807033;;1994-01-01;;IWONICZ-ZDR”J;38-440;Al.S≥oneczna 28
JEDLICZE;18;07;04;3;0;Gmina;Gmina miejsko-wiejska;1807043;;1994-01-01;;JEDLICZE;38-460;ul.Rynek 6
KORCZYNA;18;07;05;2;0;Gmina;Gmina wiejska;1807052;;1994-01-01;;KORCZYNA;38-420;ul.Rynek 14
KROåCIENKO WYØNE;18;07;06;2;0;Gmina;Gmina wiejska;1807062;;1994-01-01;;KROåCIENKO WYØNE;38-422;ul.Po≥udniowa 9
MIEJSCE PIASTOWE;18;07;07;2;0;Gmina;Gmina wiejska;1807072;;1994-01-01;;MIEJSCE PIASTOWE;38-430;ul.Dworska 14
RYMAN”W;18;07;08;3;0;Gmina;Gmina miejsko-wiejska;1807083;;1994-01-01;;RYMAN”W;38-480;ul.Mitkowskiego14a
WOJASZ”WKA;18;07;09;2;0;Gmina;Gmina wiejska;1807092;;1994-01-01;;WOJASZ”WKA;38-471;WojaszÛwka 115
JAåLISKA ;18;07;10;2;0;Gmina;Gmina wiejska;1807102;;2010-01-01;;Dukla;38-450;ul. Trakt WÍgierski 11
leøajski;18;08;00;0;1;Powiat;;1808000;;1999-01-01;;LEØAJSK;37-300;ul.Kopernika 8
LEØAJSK;18;08;01;1;0;Gmina;Gmina miejska;1808011;;1994-01-01;;LEØAJSK;37-300;ul.Rynek 1
GRODZISKO DOLNE;18;08;02;2;0;Gmina;Gmina wiejska;1808022;;1994-01-01;;GRODZISKO DOLNE;37-306;
KURY£”WKA;18;08;03;2;0;Gmina;Gmina wiejska;1808032;;1994-01-01;;KURY£”WKA;37-303;Kury≥Ûwka 527
LEØAJSK;18;08;04;2;0;Gmina;Gmina wiejska;1808042;;1994-01-01;;LEØAJSK;37-300;ul.OpaliÒskiego 2
NOWA SARZYNA;18;08;05;3;0;Gmina;Gmina miejsko-wiejska;1808053;;1994-01-01;;NOWA SARZYNA;37-310;ul.Kopernika 1
lubaczowski;18;09;00;0;1;Powiat;;1809000;;1999-01-01;;LUBACZ”W;37-600;ul.Jasna 1
LUBACZ”W;18;09;01;1;0;Gmina;Gmina miejska;1809011;;1994-01-01;;LUBACZ”W;37-600;ul.Rynek 26
CIESZAN”W;18;09;02;3;0;Gmina;Gmina miejsko-wiejska;1809023;;1994-01-01;;CIESZAN”W;37-611;ul.Rynek 1
HORYNIEC-ZDR”J;18;09;03;2;0;Gmina;Gmina wiejska;1809032;;2002-01-01;;HORYNIEC-ZDR”J;37-620;Al.Przyjaüni 5
LUBACZ”W;18;09;04;2;0;Gmina;Gmina wiejska;1809042;;1994-01-01;;LUBACZ”W;37-600;ul.Jasna 1
